Year,Life expectancy ,Adult Mortality,Alcohol,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness 5-9 years,Income composition of resources,Schooling,Country_,Status_
1.0,0.3513195565025919,0.6473866095028797,0.0,0.08801696712619302,0.00034577199360370325,0.6297150548361061,0.30564275646712724,0.0,0.47867066999253755,0.9166556645422728,0.5068783068783069,0.48792270531400966,0.0,1.0
0.9334411158052944,0.2599354036733006,0.6559628239607014,0.0,0.09119830328738071,0.22528117356330568,0.6309982446652269,0.2675447691476414,0.0,0.4829426899301031,0.9201367847423463,0.5037037037037038,0.4830917874396135,0.0,1.0
0.8668668826839223,0.2599354036733006,0.6527650973158922,0.0,0.0943796394485684,0.2713120845691488,0.6277887940760658,0.29257927428285746,0.0,0.4856982559610407,0.9235873302720596,0.4973544973544974,0.4782608695652174,0.0,1.0
0.8002772894688803,0.2533680595155751,0.6570239259746219,0.0,0.09862142099681867,0.3367952804514347,0.6526943700738745,0.332885496602205,0.0,0.49099191622149424,0.9287071491979697,0.48994708994709,0.4734299516908213,0.0,1.0
0.7336723249789827,0.24849815063914116,0.6601930096649483,0.0,0.10286320254506894,0.3509955754762179,0.611019140947431,0.34707404201819353,0.0,0.28638466554366493,0.9320838837474821,0.48042328042328053,0.45893719806763283,0.0,1.0
0.6670519780200834,0.24207864621477243,0.6643857840626598,0.0,0.10816542948038177,0.3229687490393884,0.6954503540025851,0.3190766138525814,0.0,0.4737894408127968,0.9354320963654306,0.47407407407407415,0.4444444444444444,0.0,1.0
0.6004162373840529,0.23890033384107673,0.666468412089228,0.0,0.11240721102863203,0.2836876850664315,0.709111888320243,0.27988150404160855,0.0,0.4545013461120259,0.9404021288729907,0.4592592592592593,0.42995169082125606,0.0,1.0
0.5337650918485224,0.2310457208734607,0.6726625081484013,0.031961774524063735,0.1166489925768823,0.2964193708047034,0.640597329459685,0.29257927428285746,0.0,0.4387397263808911,0.9436813946402858,0.4582010582010583,0.42028985507246375,0.0,1.0
0.46709853017833325,0.22179091682535712,0.6807995079616714,0.018589196410034203,0.11983032873807001,0.2836876850664315,0.5357644832104161,0.27988150404160855,0.0,0.43790001389901956,0.9469339835015098,0.4391534391534392,0.4057971014492754,0.0,1.0
0.4004165411234055,0.21874708414419558,0.6807995079616714,0.031961774524063735,0.1230116648992577,0.22528117356330568,0.5823195889120436,0.22171417001801302,0.0,0.4110246863129639,0.9501603884366481,0.42857142857142866,0.3913043478260869,0.0,1.0
